"bo_rank","studio","adjusted_gross","key","year","title","index"
1,"WB",312387100,"everywhichwaybutloose","1978","Every Which Way But Loose","27"
2,"WB",225463700,"anywhichwayyoucan","1980","Any Which Way You Can","24"
3,"Col.",212043800,"inthelineoffire","1993","In the Line of Fire","11"
4,"WB",209270500,"unforgiven","1992","Unforgiven","12"
5,"WB",192773700,"magnumforce","1973","Magnum Force","33"
6,"WB",187075200,"dirtyharry","1971","Dirty Harry","37"
7,"WB",186246400,"theenforcer","1976","The Enforcer","29"
8,"UA",179465000,"thegoodthebadandtheugly",NA,NA,NA
9,"WB",178536600,"suddenimpact","1983","Sudden Impact","21"
10,"WB",176971800,"grantorino","2008","Gran Torino","02"
11,"Par.",146988000,"escapefromalcatraz","1979","Escape from Alcatraz","26"
12,"WB",143960500,"spacecowboys","2000","Space Cowboys","05"
13,"WB",141060400,"thebridgesofmadisoncounty","1995","The Bridges of Madison County","08"
14,"WB",136311900,"firefox","1982","Firefox","23"
15,"WB",134545500,"milliondollarbaby","2004","Million Dollar Baby","03"
16,"WB",128095800,"theoutlawjoseywales","1976","The Outlaw Josey Wales","30"
17,"WB",122938100,"tightrope","1984","Tightrope","20"
18,"UA",107250000,"forafewdollarsmore",NA,NA,NA
19,"UA",103675000,"afistfulofdollars",NA,NA,NA
20,"WB",101631300,"thegauntlet","1977","The Gauntlet","28"
21,"WB",100085300,"palerider","1985","Pale Rider","18"
22,"UA",99564700,"thunderboltandlightfoot","1974","Thunderbolt and Lightfoot","32"
23,"WB",96496300,"heartbreakridge","1986","Heartbreak Ridge","17"
24,"WB",95527500,"cityheat","1984","City Heat","19"
25,"Sony",93591700,"absolutepower","1997","Absolute Power","07"
26,"Par.",87612700,"paintyourwagon","1969","Paint Your Wagon","42"
27,"WB",79126600,"thedeadpool","1988","The Dead Pool","16"
28,"WB",77397500,"broncobilly","1980","Bronco Billy","25"
29,"Uni.",76105100,"highplainsdrifter","1973","High Plains Drifter","35"
30,"UA",72045800,"hangemhigh","1968","Hang 'Em High","45"
31,"WB",64454800,"aperfectworld","1993","A Perfect World","10"
32,"Uni.",59432200,"theeigersanction","1975","The Eiger Sanction","31"
33,"Uni.",55120000,"playmistyforme","1971","Play Misty for Me","38"
34,"WB",43939900,"therookie","1990","The Rookie","13"
35,"MGM",42900000,"whereeaglesdare","1968","Where Eagles Dare","43"
36,"WB",38743000,"bloodwork","2002","Blood Work","04"
37,"WB",38716800,"troublewiththecurve","2012","Trouble with the Curve","01"
38,"Uni.",31947900,"joekidd","1972","Joe Kidd","36"
39,"MGM",28784500,"kellysheroes","1970","Kelly's Heroes","40"
40,"WB",28121100,"truecrime","1999","True Crime","06"
41,"Uni.",27954200,"twomulesforsistersara","1970","Two Mules for Sister Sara","41"
42,"WB",26244600,"pinkcadillac","1989","Pink Cadillac","15"
43,"Uni.",20369300,"coogansbluff","1968","Coogan's Bluff","44"
44,"WB",13088900,"honkytonkman","1982","Honkytonk Man","22"
45,"Uni.",5720000,"thebeguiled","1971","The Beguiled","39"
46,"WB",4704000,"whitehunterblackheart","1990","White Hunter Black Heart","14"
